40
Cisco;Estados Unidos;79304;Tecnologias de la informacion
DHL Express;Alemania;104000;Transporte
Hilton;Estados Unidos;173504;Hospitalidad
Salesforce;Estados Unidos;52000;Tecnologias de la informacion
Stryker;Estados Unidos;40000;Salud
Mars, Incorporated;Estados Unidos;67784;Manufactura y produccion
The Adecco Group;Suiza;45000;Servicios profesionales
Mercado Libre;Argentina;13058;Tecnologias de la informacion
SAS;Estados Unidos;13000;Tecnologias de la informacion
EY;Reino Unido;300675;Servicios profesionales
Intuit, Inc;Estados Unidos;9382;Tecnologias de la informacion
SAP SE;Alemania;95853;Tecnologias de la informacion
Adobe;Estados Unidos;22000;Tecnologias de la informacion
Admiral Group plc;Reino Unido;11243;Servicios financieros y seguros
AbbVie;Estados Unidos;30000;Tecnologias de la informacion
Daimler Mobility AG;Alemania;14000;Servicios financieros y seguros
Dell Technologies;Estados Unidos;165000;Tecnologias de la informacion
Cadence;Estados Unidos;8674;Electronica
Marriott International, Inc;Estados Unidos;176000;Hospitalidad
Volvo Group;Suecia;100000;Manufactura y produccion
Roche;Suiza;98000;Biotecnologia y farmaceutica
Deloitte;Reino Unido;334800;Servicios profesionales;
Santander;España;194000;Servicios financieros y seguros
Natura;Brasil;6396;Manufactura y produccion
Scotiabank;Canada;97000;Servicios financieros y seguros
Accor;Mexico;75000;Hospitalidad
Dell Technologies;Colombia;25400;Tecnologias de la informacion
Banco Galicia;Argentina;6256;Servicios financieros y seguros
Cerveceria Quilmes;Argentina;6150;Manufactura y produccion
SAP;Argentina;1100;Tecnologias de la informacion
Directv;Argentina;3544;Telecomunicaciones
Banco Ciudad;Argentina;2800;Servicios financieros y seguros
Texaco;Mexico;72000;Petrolera
Teleperformance;Argentina;5707;Call center
CNH Industrial;Argentina;1180;Manufactura y produccion
DOW;Estados Unidos;12000;Manufactura y produccion
Oracle;Estados Unidos;22457;Tecnologias de la informacion
Logicalis;Peru;750;Tecnologias de la informacion
Puma;Argentina;1250;Manufactura y produccion
Baufest;Mexico;2571;Tecnologias de la informacion
